discipline	Toutes les disciplines
discipline:1061:1039:1473	Pneumologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1477	Psychiatrie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1479	Psychomotricité	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1481	Radiologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1483	Radiothérapie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1485	Réanimation	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1487	Rééducation et réadaptation	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1489	Rhumatologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063	Clinique chirurgicale	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1377	Chirurgie cardiaque	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1379	Chirurgie digestive	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1381	Chirurgie générale	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1383	Chirurgie orthopédique et traumatologique	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1385	Chirurgie réparatrice ou esthétique	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1387	Chirurgie thoracique	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1389	Chirurgie urologique	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1391	Chirurgie vasculaire	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1455	Neurochirurgie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1459	Odontologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1463	Ophtalmologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1465	Oto-rhino-laryngologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1491	Robotique en chirurgie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1503	Stomatologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1063:1511	Traumatologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1151	Pharmacie, pharmacologie	https://w3id.org/kim/hochschulfaechersystematik/n126
discipline:1061:1151:1153	Pharmacie	https://w3id.org/kim/hochschulfaechersystematik/n126
discipline:1061:1151:1493	Science du médicament	https://w3id.org/kim/hochschulfaechersystematik/n126
discipline:1061:1151:1505	Thérapeutique	https://w3id.org/kim/hochschulfaechersystematik/n126
discipline:1061:1151:1509	Toxicologie	https://w3id.org/kim/hochschulfaechersystematik/n126
discipline:1061:1161	Fondamentaux en médecine	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1161:1163	Physique en sciences de la santé et du sport	https://w3id.org/kim/hochschulfaechersystematik/n49
